Project,BugID,Pass_TC,Fail_TC,Pass_Assert,Fail_Assert
Csv,3b,73,4,249,2
JacksonXml,1b,131,6,373,3
Collections,25b,208,3,952,0
Collections,26b,23,2,204,1
Collections,27b,66,2,236,0
Collections,28b,9,3,170,0
Chart,1b,435,3,1802,1
Csv,1b,49,1,127,1
Csv,2b,61,2,155,0
Csv,5b,138,1,240,1
Csv,4b,122,3,217,1
Csv,6b,106,3,195,0
Csv,7b,145,3,246,0
Csv,9b,108,3,195,0
Csv,8b,173,3,366,0
Csv,11b,157,3,256,0
Csv,10b,150,1,249,1
Csv,13b,208,4,402,2
Csv,12b,182,3,373,0
Csv,14b,234,8,448,6
Csv,15b,276,3,839,1
Codec,4b,70,2,413,0
Codec,5b,81,2,436,0
Codec,6b,9,1,1,0
Csv,16b,146,3,585,1
Codec,3b,16,1,6,1
Codec,8b,85,1,438,0
Codec,10b,8,1,0,0
Codec,11b,28,5,35,5
Codec,12b,23,15,9,10
Codec,7b,83,2,430,1
Codec,14b,24,2,50,0
Codec,9b,86,1,439,0
Codec,16b,30,5,29,0
Codec,15b,27,1,94,1
Codec,17b,296,35,754,1
Cli,1b,75,3,131,1
Cli,2b,67,3,132,0
Cli,3b,0,1,10,1
Cli,4b,82,4,135,2
Codec,18b,298,36,770,2
Cli,5b,85,4,137,2
Cli,7b,0,1,1,1
Cli,8b,19,2,21,1
Cli,9b,86,4,140,1
Cli,10b,88,3,141,0
Cli,11b,23,2,27,1
Cli,12b,32,4,19,2
Cli,14b,152,1,356,0
Cli,13b,291,3,540,1
Cli,15b,224,4,401,2
Cli,17b,96,3,163,0
Cli,16b,313,5,565,0
Cli,18b,97,3,164,0
Cli,19b,98,3,164,0
Cli,20b,99,3,165,0
Cli,22b,93,3,169,1
Cli,23b,32,4,40,0
Cli,24b,35,3,41,0
Cli,21b,299,3,543,0
Cli,25b,35,3,41,1
Cli,27b,91,2,50,0
Cli,26b,109,4,217,0
Cli,29b,134,3,119,1
Cli,30b,134,3,117,0
Cli,28b,136,3,129,1
Cli,32b,45,2,50,0
Cli,33b,47,1,51,1
Cli,31b,174,2,204,1
Cli,35b,167,2,159,0
Cli,34b,180,3,204,2
Cli,37b,6,1,8,0
Cli,38b,7,1,9,1
Cli,39b,16,2,38,0
Cli,36b,169,2,160,1
Codec,13b,238,20,659,1
Codec,2b,48,2,405,0
Codec,1b,70,0,149,0
JacksonXml,3b,135,4,383,1
JacksonXml,2b,107,3,401,1
JacksonXml,4b,137,4,394,1
JacksonXml,5b,162,6,454,0
JacksonXml,6b,174,11,481,0
